frame,visible,score,x,y
0,0,-inf,-inf,-inf
1,0,-inf,-inf,-inf
2,0,-inf,-inf,-inf
3,0,-inf,-inf,-inf
4,0,-inf,-inf,-inf
5,0,-inf,-inf,-inf
6,0,-inf,-inf,-inf
7,0,-inf,-inf,-inf
8,0,-inf,-inf,-inf
9,0,-inf,-inf,-inf
10,0,-inf,-inf,-inf
11,0,-inf,-inf,-inf
12,0,-inf,-inf,-inf
13,0,-inf,-inf,-inf
14,0,-inf,-inf,-inf
15,0,-inf,-inf,-inf
16,0,-inf,-inf,-inf
17,0,-inf,-inf,-inf
18,0,-inf,-inf,-inf
19,0,-inf,-inf,-inf
20,0,-inf,-inf,-inf
21,0,-inf,-inf,-inf
22,0,-inf,-inf,-inf
23,0,-inf,-inf,-inf
24,0,-inf,-inf,-inf
25,0,-inf,-inf,-inf
26,0,-inf,-inf,-inf
27,0,-inf,-inf,-inf
28,0,-inf,-inf,-inf
29,0,-inf,-inf,-inf
30,0,-inf,-inf,-inf
31,0,-inf,-inf,-inf
32,0,-inf,-inf,-inf
33,0,-inf,-inf,-inf
34,0,-inf,-inf,-inf
35,0,-inf,-inf,-inf
36,0,-inf,-inf,-inf
37,0,-inf,-inf,-inf
38,1,8.893555,1093.846664428711,456.88838958740234
39,1,7.209961,1092.8955078125,452.3005676269531
40,0,-inf,-inf,-inf
41,0,-inf,-inf,-inf
42,0,-inf,-inf,-inf
43,0,-inf,-inf,-inf
44,0,-inf,-inf,-inf
45,0,-inf,-inf,-inf
46,0,-inf,-inf,-inf
47,0,-inf,-inf,-inf
48,1,12.415527,693.8731384277344,328.3643341064453
49,1,2.097168,688.1198883056641,328.115234375
50,0,-inf,-inf,-inf
51,0,-inf,-inf,-inf
52,0,-inf,-inf,-inf
53,0,-inf,-inf,-inf
54,0,-inf,-inf,-inf
55,0,-inf,-inf,-inf
56,0,-inf,-inf,-inf
57,0,-inf,-inf,-inf
58,0,-inf,-inf,-inf
59,0,-inf,-inf,-inf
60,1,9.314453,903.8175201416016,439.31392669677734
61,1,2.6958008,904.4915008544922,433.99383544921875
62,0,-inf,-inf,-inf
63,0,-inf,-inf,-inf
64,0,-inf,-inf,-inf
65,0,-inf,-inf,-inf
66,0,-inf,-inf,-inf
67,0,-inf,-inf,-inf
68,0,-inf,-inf,-inf
69,0,-inf,-inf,-inf
70,0,-inf,-inf,-inf
71,0,-inf,-inf,-inf
72,0,-inf,-inf,-inf
73,0,-inf,-inf,-inf
74,0,-inf,-inf,-inf
75,0,-inf,-inf,-inf
76,0,-inf,-inf,-inf
77,0,-inf,-inf,-inf
78,0,-inf,-inf,-inf
79,0,-inf,-inf,-inf
80,0,-inf,-inf,-inf
81,0,-inf,-inf,-inf
82,0,-inf,-inf,-inf
83,0,-inf,-inf,-inf
84,0,-inf,-inf,-inf
85,0,-inf,-inf,-inf
86,0,-inf,-inf,-inf
87,0,-inf,-inf,-inf
88,0,-inf,-inf,-inf
89,0,-inf,-inf,-inf
90,0,-inf,-inf,-inf
91,0,-inf,-inf,-inf
92,1,5.210449,1008.3377838134766,465.38562774658203
93,1,2.1103516,1008.7876129150391,466.3101577758789
94,0,-inf,-inf,-inf
95,0,-inf,-inf,-inf
96,1,12.501465,1005.4641723632812,452.92797088623047
97,0,-inf,-inf,-inf
98,0,-inf,-inf,-inf
99,0,-inf,-inf,-inf
100,0,-inf,-inf,-inf
101,0,-inf,-inf,-inf
102,0,-inf,-inf,-inf
103,0,-inf,-inf,-inf
104,0,-inf,-inf,-inf
